"","Team1","Team2","Goal_Team_1","Goal_Team_2","Hasil"
"314","Manchester Utd","Chelsea",2,1,"Team 1 Menang"
"315","Barcelona","Shakhtar",5,1,"Team 1 Menang"
"316","Shakhtar","Barcelona",0,1,"Team 2 Menang"
"317","Real Madrid","Tottenham",4,0,"Team 1 Menang"
"318","Tottenham","Real Madrid",0,1,"Team 2 Menang"
"319","Inter","Schalke 04",2,5,"Team 2 Menang"
"320","Schalke 04","Inter",2,1,"Team 1 Menang"
"321","Inter","Bayern Munich",0,1,"Team 2 Menang"
"322","Bayern Munich","Inter",2,3,"Team 2 Menang"
"323","FC Copenhagen","Chelsea",0,2,"Team 2 Menang"
"324","Chelsea","FC Copenhagen",0,0,"Imbang"
"325","Arsenal","Barcelona",2,1,"Team 1 Menang"
"326","Barcelona","Arsenal",3,1,"Team 1 Menang"
"327","Marseille","Manchester Utd",0,0,"Imbang"
"328","Manchester Utd","Marseille",2,1,"Team 1 Menang"
"329","Milan","Tottenham",0,1,"Team 2 Menang"
"330","Tottenham","Milan",0,0,"Imbang"
"331","Lyon","Real Madrid",1,1,"Imbang"
"332","Real Madrid","Lyon",3,0,"Team 1 Menang"
"333","Valencia","Schalke 04",1,1,"Imbang"
"334","Schalke 04","Valencia",3,1,"Team 1 Menang"
"335","Roma","Shakhtar",2,3,"Team 2 Menang"
"336","Shakhtar","Roma",3,0,"Team 1 Menang"
"337","Inter","Bayern Munich",2,0,"Team 1 Menang"
"338","Bayern Munich","Lyon",1,0,"Team 1 Menang"
"339","Lyon","Bayern Munich",0,3,"Team 2 Menang"
"340","Inter","Barcelona",3,1,"Team 1 Menang"
"341","Barcelona","Inter",1,0,"Team 1 Menang"
"342","Bayern Munich","Manchester Utd",2,1,"Team 1 Menang"
"343","Manchester Utd","Bayern Munich",3,2,"Team 1 Menang"
"344","Lyon","Bordeaux",3,1,"Team 1 Menang"
"345","Bordeaux","Lyon",1,0,"Team 1 Menang"
"346","Arsenal","Barcelona",2,2,"Imbang"
"347","Barcelona","Arsenal",4,1,"Team 1 Menang"
"348","Inter","CSKA Moscow",1,0,"Team 1 Menang"
"349","CSKA Moscow","Inter",0,1,"Team 2 Menang"
"350","Bayern Munich","Fiorentina",2,1,"Team 1 Menang"
"351","Fiorentina","Bayern Munich",3,2,"Team 1 Menang"
"352","Olympiacos","Bordeaux",0,1,"Team 2 Menang"
"353","Bordeaux","Olympiacos",2,1,"Team 1 Menang"
"354","Porto","Arsenal",2,1,"Team 1 Menang"
"355","Arsenal","Porto",5,0,"Team 1 Menang"
"356","Milan","Manchester Utd",2,3,"Team 2 Menang"
"357","Manchester Utd","Milan",4,0,"Team 1 Menang"
"358","Stuttgart","Barcelona",1,1,"Imbang"
"359","Barcelona","Stuttgart",4,0,"Team 1 Menang"
"360","Lyon","Real Madrid",1,0,"Team 1 Menang"
"361","Real Madrid","Lyon",1,1,"Imbang"
"362","CSKA Moscow","Sevilla",1,1,"Imbang"
"363","Sevilla","CSKA Moscow",1,2,"Team 2 Menang"
"364","Inter","Chelsea",2,1,"Team 1 Menang"
"365","Chelsea","Inter",0,1,"Team 2 Menang"
"366","Barcelona","Manchester Utd",2,0,"Team 1 Menang"
"367","Manchester Utd","Arsenal",1,0,"Team 1 Menang"
"368","Arsenal","Manchester Utd",1,3,"Team 2 Menang"
"369","Barcelona","Chelsea",0,0,"Imbang"
"370","Chelsea","Barcelona",1,1,"Imbang"
"371","Barcelona","Bayern Munich",4,0,"Team 1 Menang"
"372","Bayern Munich","Barcelona",1,1,"Imbang"
"373","Villarreal","Arsenal",1,1,"Imbang"
"374","Arsenal","Villarreal",3,0,"Team 1 Menang"
"375","Manchester Utd","Porto",2,2,"Imbang"
"376","Porto","Manchester Utd",0,1,"Team 2 Menang"
"377","Liverpool","Chelsea",1,3,"Team 2 Menang"
"378","Chelsea","Liverpool",4,4,"Imbang"
"379","Sporting CP","Bayern Munich",0,5,"Team 2 Menang"
"380","Bayern Munich","Sporting CP",7,1,"Team 1 Menang"
"381","Arsenal","Roma",1,0,"Team 1 Menang"
"382","Roma","Arsenal",1,0,"Team 1 Menang"
"383","Inter","Manchester Utd",0,0,"Imbang"
"384","Manchester Utd","Inter",2,0,"Team 1 Menang"
"385","Lyon","Barcelona",1,1,"Imbang"
"386","Barcelona","Lyon",5,2,"Team 1 Menang"
"387","Villarreal","Panathinaikos",1,1,"Imbang"
"388","Panathinaikos","Villarreal",1,2,"Team 2 Menang"
"389","Real Madrid","Liverpool",0,1,"Team 2 Menang"
"390","Liverpool","Real Madrid",4,0,"Team 1 Menang"
"391","Atlético Madrid","Porto",2,2,"Imbang"
